Scenario,Gas/Region,1990,2000,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
A1AIM,CH4,MtCH4,MtCH4,,,,,,,,,,
,OECD90,72.9801,73.5399,71.1634,68.9441,65.7877,58.2814,51.5337,49.4557,47.4496,45.6305,43.9843,42.3882
,REF,47.0804,38.8544,57.8602,61.2764,59.8608,50.5076,42.3576,40.852,39.3875,37.734,35.912,34.1556
,ASIA,112.8938,125.3791,144.7888,170.7022,206.5665,210.3425,214.1863,182.9251,156.1512,138.4179,127.4492,117.3276
,ALM,76.7245,85.1631,99.2297,119.8457,134.0362,139.0303,144.2315,136.9771,130.1256,119.6887,106.7063,95.3133
A1AIM,NOx,MtN,,,,,,,,,,,
,OECD90,12.7876,12.1483,12.3148,11.5397,8.9015,7.4211,6.1549,5.9222,5.6967,5.4394,5.1542,4.8811
,REF,4.6683,2.9234,3.1605,3.1884,2.8574,2.4898,2.1737,1.8356,1.5564,1.393,1.3123,1.2372
,ASIA,6.9185,8.9681,12.629,16.0853,19.3457,19.0641,18.7866,17.473,16.2509,15.1123,14.0517,13.0652
,ALM,6.5529,7.9617,11.2315,15.2628,19.1347,19.9266,20.7542,20.7288,20.7034,20.7464,20.8582,20.9707
A1AIM,NMVOC,Mt,,,,,,,,,,,
,OECD90,42.3835,36.026,38.8536,39.12,38.3792,33.017,28.194,23.5994,19.4942,16.9775,15.7518,14.5732
,REF,15.6981,12.9151,14.6301,14.3185,14.6337,15.4845,16.3767,16.7044,17.0375,17.3147,17.5333,17.7544
,ASIA,32.725,37.2652,49.0092,69.8832,93.6576,99.425,105.4852,112.1374,119.1424,111.0734,90.4576,73.0862
,ALM,48.2991,55.2086,75.0635,98.6864,119.4144,124.1305,129.0096,131.3087,133.644,124.0529,104.7459,88.0805
A1AIM,CO,MtCO,,,,,,,,,,,
,OECD90,179.434,161.4906,189.8014,204.6827,226.6151,233.6272,240.8291,241.8664,242.9075,247.0496,254.4325,262.0104
,REF,68.9262,41.3075,40.9963,40.7068,41.9633,42.4801,43.0054,42.3379,41.6842,41.8337,42.7983,43.7926
,ASIA,234.7763,269.8737,357.8412,359.6758,430.2657,460.027,491.7843,505.8201,520.2457,554.8619,613.5567,678.313
,ALM,395.8825,404.4755,413.477,426.8244,410.2074,424.1535,438.8295,454.7618,471.5543,512.9815,588.206,678.7558
A1GMINICAM,CH4,MtCH4,,,,,,,,,,,
,OECD90,72.9801,73.5399,85.6432,100.7499,107.8199,131.0999,149.3799,171.8865,196.2865,222.5799,246.1932,269.8065
,REF,47.0804,38.8544,49.0177,67.7644,90.8644,108.911,121.9044,122.6244,121.891,119.7044,120.1244,120.5444
,ASIA,112.8938,125.3791,134.6925,147.5991,165.9525,186.1991,208.3391,198.4191,188.7191,179.2391,180.6791,182.1191
,ALM,76.7245,85.1631,89.9131,100.0598,123.9064,140.6031,150.1498,162.0364,169.7264,173.2198,167.8531,162.4864
A1GMINICAM,NOx,MtN,,,,,,,,,,,
,OECD90,12.7876,12.1483,14.1976,15.9599,15.3859,15.5064,15.7334,16.4586,18.1562,19.8529,22.5116,24.316
,REF,4.6683,2.9234,3.1667,4.4472,6.5927,8.1389,9.3671,8.4049,7.2994,5.9851,5.285,4.9054
,ASIA,6.9185,8.9681,13.1588,18.9998,26.0749,34.0639,44.3026,46.8301,48.4364,51.3599,48.5406,47.0592
,ALM,6.5529,7.9617,9.1851,10.9889,14.7831,19.3621,25.4989,30.4278,34.6246,38.1863,35.1321,33.2815
A1GMINICAM,NMVOC,Mt,,,,,,,,,,,
,OECD90,42.3835,36.026,39.2542,39.2645,32.3827,33.3425,36.7757,41.3181,44.5795,52.038,55.3137,59.9233
,REF,15.6981,12.9151,16.6446,24.3196,32.3335,45.3574,56.5677,72.0465,100.0663,114.3298,113.3471,110.1017
,ASIA,32.725,37.2652,49.5181,62.5285,72.9671,86.1607,118.6249,126.3488,133.1129,144.2545,138.5799,130.2753
,ALM,48.2991,55.2086,60.1704,65.6994,75.8795,91.3595,110.2076,121.2562,127.3873,138.4936,127.6908,119.4804
A1GMINICAM,CO,MtCO,,,,,,,,,,,
,OECD90,179.434,161.4906,181.0775,199.215,187.464,211.0531,249.8537,268.9898,274.4558,304.0712,307.0864,318.5859
,REF,68.9262,41.3075,48.5182,63.1223,103.0748,136.1669,165.6398,150.5906,150.8492,130.0011,120.2361,88.6278
,ASIA,234.7763,269.8737,370.9718,493.587,639.3144,777.3506,1029.5934,1067.4484,1132.6055,1225.6013,1241.901,1187.4283
,ALM,395.8825,404.4755,419.8331,448.3844,505.9757,601.1233,714.0162,782.9696,924.9451,1116.6194,1015.9103,975.2136
A1TMESSAGE,CH4,MtCH4,,,,,,,,,,,
,OECD90,72.9801,73.5399,70.6209,67.7618,65.7115,60.4116,55.7417,51.546,48.2104,46.7721,45.0512,43.3002
,REF,47.0804,38.8544,42.4444,48.5654,58.0254,58.4958,54.2461,51.874,48.2519,42.9842,36.1909,30.3776
,ASIA,112.8938,125.3791,151.6893,184.5367,225.4883,226.3941,227.2699,200.1164,167.0229,147.04,130.4478,109.7856
,ALM,76.7245,85.1631,97.6704,114.2809,133.4709,150.0382,162.4254,155.3361,141.0067,122.5919,104.8115,90.4212
A1TMESSAGE,NOx,MtN,,,,,,,,,,,
,OECD90,12.7876,12.1483,13.6105,13.4947,12.6749,10.6982,8.5049,7.3436,5.8605,5.2753,3.8701,2.3332
,REF,4.6683,2.9234,3.1415,3.8575,4.7885,5.1241,4.7457,4.7868,4.3842,4.0051,3.1606,2.2026
,ASIA,6.9185,8.9681,12.4637,17.3807,23.2988,25.5964,27.7157,26.2818,22.4582,18.4284,15.1415,12.0918
,ALM,6.5529,7.9617,9.6076,11.6614,15.0903,18.2817,20.0112,21.1481,19.0099,15.1167,12.6731,11.5211
A1TMESSAGE,NMVOC,Mt,,,,,,,,,,,
,OECD90,42.3835,36.026,38.3201,37.6168,33.1318,30.3468,26.9057,25.667,22.8148,20.4351,16.1971,10.4213
,REF,15.6981,12.9151,15.8495,20.03,25.4101,31.0383,34.3136,38.7805,37.2412,33.3754,29.5223,25.651
,ASIA,32.725,37.2652,46.8197,57.9407,70.0595,75.3698,82.3156,81.8941,82.7586,76.1993,63.0823,41.4056
,ALM,48.2991,55.2086,63.2824,74.3578,83.42,92.2429,97.8496,95.3374,86.5914,69.1329,58.252,50.1341
A1TMESSAGE,CO,MtCO,,,,,,,,,,,
,OECD90,179.434,161.4906,182.9438,189.6952,183.9746,186.096,202.1659,210.3117,206.0395,205.8995,208.2438,189.9979
,REF,68.9262,41.3075,48.9807,61.2529,82.0335,98.3027,111.9687,120.8969,118.1911,105.3894,90.2804,74.5766
,ASIA,234.7763,269.8737,340.452,421.629,563.5737,662.7175,784.3844,852.5173,896.1352,914.4239,866.254,777.2922
,ALM,395.8825,404.4755,430.5058,474.2951,532.5589,607.804,671.4689,760.422,857.8799,937.9147,991.5164,1034.7497
A2ASF,CH4,MtCH4,,,,,,,,,,,
,OECD90,72.9801,73.5399,77.7056,83.7718,91.3319,98.3515,105.371,113.2513,121.1316,133.2018,149.4618,165.7218
,REF,47.0804,38.8544,41.0934,45.8058,56.6878,67.3218,77.9558,92.1076,106.2595,119.3078,131.2525,143.1973
,ASIA,112.8938,125.3791,144.4046,162.9267,184.1843,205.3671,226.5499,240.9931,255.4363,271.6277,289.5672,307.5067
,ALM,76.7245,85.1631,107.0061,131.9095,153.398,170.523,187.648,208.1275,228.607,245.5565,258.9761,272.3957
A2ASF,NOx,MtN,,,,,,,,,,,
,OECD90,12.7876,12.1483,13.6149,15.5977,16.9599,16.5557,16.1516,16.054,15.9563,17.0167,19.2351,21.4536
,REF,4.6683,2.9234,3.2727,4.0362,4.7346,4.9949,5.2552,5.433,5.6107,6.0773,6.8326,7.588
,ASIA,6.9185,8.9681,12.0514,16.2897,20.4043,23.1429,25.8815,27.8021,29.7226,32.551,36.2872,40.0234
,ALM,6.5529,7.9617,10.2326,14.3326,18.5577,21.1656,23.7734,26.165,28.5566,31.8287,35.9814,40.1341
A2ASF,NMVOC,Mt,,,,,,,,,,,
,OECD90,42.3835,36.026,39.6132,44.3595,45.9425,44.1397,42.337,43.7329,45.1287,49.9875,58.3092,66.631
,REF,15.6981,12.9151,14.8093,18.9662,24.961,27.9255,30.89,29.0757,27.2614,28.5556,32.9584,37.3611
,ASIA,32.725,37.2652,40.5473,45.5346,50.1927,52.9808,55.7688,59.8305,63.8922,69.1626,75.6417,82.1207
,ALM,48.2991,55.2086,59.7716,69.7328,80.9408,88.5581,96.1754,105.6692,115.163,127.1978,141.7735,156.3492
A2ASF,CO,MtCO,,,,,,,,,,,
,OECD90,179.434,161.4906,167.9934,175.2671,174.6274,157.6024,140.5774,147.2796,153.9818,174.479,208.7711,243.0631
,REF,68.9262,41.3075,40.2168,39.8554,46.8556,51.2083,55.561,62.9719,70.3827,83.0779,101.0574,119.0368
,ASIA,234.7763,269.8737,320.9491,361.167,435.4326,478.9522,522.4717,576.3761,630.2806,706.8982,806.2291,905.56
,ALM,395.8825,404.4755,447.5903,498.5692,602.5506,655.7668,708.983,758.3435,807.7039,877.4839,967.6832,1057.8826
B1IMAGE,CH4,MtCH4,,,,,,,,,,,
,OECD90,72.9801,73.5399,74.5399,71.5399,67.5399,62.5399,55.5399,51.5399,49.5399,45.5399,41.5399,39.5399
,REF,47.0804,38.8544,37.8544,41.8544,43.8544,39.8544,33.8544,32.8544,29.8544,26.8544,23.8544,20.8544
,ASIA,112.8938,125.3791,136.3791,148.3791,154.3791,161.3791,157.3791,149.3791,141.3791,128.3791,118.3791,105.3791
,ALM,76.7245,85.1631,100.1631,115.1631,119.1631,117.1631,112.1631,108.1631,103.1631,92.1631,82.1631,70.1631
B1IMAGE,NOx,MtN,,,,,,,,,,,
,OECD90,12.7876,12.1483,11.8483,10.4483,8.4483,6.4483,4.7483,3.7483,3.0483,2.7483,2.6483,2.2483
,REF,4.6683,2.9234,2.6234,2.6234,2.6234,2.7234,2.6234,2.4234,2.1234,1.9234,1.6234,1.4234
,ASIA,6.9185,8.9681,11.3681,13.4681,14.9681,15.3681,13.2681,11.1681,9.3681,7.8681,6.6681,5.4681
,ALM,6.5529,7.9617,10.2617,13.3617,15.9617,18.0617,18.1617,16.9617,15.0617,13.1617,11.2617,9.5617
B1IMAGE,NMVOC,Mt,,,,,,,,,,,
,OECD90,42.3835,36.026,35.026,33.026,29.026,24.026,21.026,18.026,16.026,16.026,15.026,13.026
,REF,15.6981,12.9151,11.9151,11.9151,10.9151,10.9151,10.9151,9.9151,8.9151,8.9151,8.9151,8.9151
,ASIA,32.725,37.2652,40.2652,40.2652,40.2652,40.2652,37.2652,36.2652,33.2652,32.2652,32.2652,29.2652
,ALM,48.2991,55.2086,54.2086,55.2086,51.2086,48.2086,47.2086,47.2086,45.2086,42.2086,40.2086,36.2086
B1IMAGE,CO,MtCO,,,,,,,,,,,
,OECD90,179.434,161.4906,153.4906,137.4906,116.4906,100.4906,85.4906,72.4906,64.4906,63.4906,59.4906,56.4906
,REF,68.9262,41.3075,28.3075,23.3075,20.3075,19.3075,19.3075,17.3075,15.3075,13.3075,12.3075,9.3075
,ASIA,234.7763,269.8737,285.8737,288.8737,279.8737,284.8737,244.8737,237.8737,232.8737,227.8737,221.8737,213.8737
,ALM,395.8825,404.4755,321.4755,301.4755,186.4755,126.4755,121.4755,131.4755,143.4755,121.4755,105.4755,83.4755
B2MESSAGE,CH4,MtCH4,,,,,,,,,,,
,OECD90,72.9801,73.5399,71.8417,71.3411,68.3335,67.2557,68.8479,69.4607,70.1236,72.036,75.0278,77.7997
,REF,47.0804,38.8544,36.2209,39.7882,44.7985,50.245,52.8916,50.3682,47.4549,46.7141,45.826,47.0079
,ASIA,112.8938,125.3791,146.3808,171.0822,201.0627,219.4057,233.9888,240.7883,251.4478,260.0565,265.1345,271.8924
,ALM,76.7245,85.1631,94.474,101.6967,111.8402,129.4583,148.7465,161.6487,175.291,186.7285,192.6714,199.8942
B2MESSAGE,NOx,MtN,,,,,,,,,,,
,OECD90,12.7876,12.1483,13.3094,14.6591,15.6387,15.9773,15.3379,14.9855,13.5145,13.1139,12.2631,11.4444
,REF,4.6683,2.9234,2.7589,3.1607,3.9016,4.754,5.2379,5.3801,5.2216,4.9321,4.3188,3.6545
,ASIA,6.9185,8.9681,11.707,14.8733,17.9592,19.5989,19.3849,19.6286,20.16,22.3307,24.085,25.6671
,ALM,6.5529,7.9617,8.9583,9.9726,11.3969,13.0397,14.5167,16.096,17.4313,18.8625,20.2116,20.4488
B2MESSAGE,NMVOC,Mt,,,,,,,,,,,
,OECD90,42.3835,36.026,36.6496,39.1782,41.8544,44.7471,43.354,41.1558,38.0728,36.1746,33.0517,30.178
,REF,15.6981,12.9151,13.778,16.4808,20.8259,27.6556,32.1016,30.6897,30.1606,30.0541,26.7351,26.0311
,ASIA,32.725,37.2652,43.6416,52.9862,58.7449,60.1178,58.7825,56.133,51.641,45.3725,41.4519,39.0786
,ALM,48.2991,55.2086,65.1726,71.5917,77.55,81.1242,82.6385,85.6983,82.0861,79.9303,77.1163,74.9521
B2MESSAGE,CO,MtCO,,,,,,,,,,,
,OECD90,179.434,161.4906,163.0953,172.5363,179.5934,187.2806,185.4972,185.4707,195.3364,213.453,207.146,197.3527
,REF,68.9262,41.3075,42.6225,47.8728,58.6261,68.5673,74.1863,72.8837,68.34,71.6402,70.2619,78.5869
,ASIA,234.7763,269.8737,313.5417,375.3567,427.6709,471.6924,517.9392,548.6482,578.7874,597.5722,617.2228,650.8947
,ALM,395.8825,404.4755,415.6581,426.6801,444.7374,492.0673,541.5099,615.6469,727.6198,859.7402,991.6221,1075.1282
